id,symbol,side,bar_time,outcome,ema9,slope_pct,body_atr_ratio,detected_at
495,XRP,short,"2026-06-10 13:00:00+00:00",detected,,-0.00571838504639732,,2026-06-10T13:15:47.970749+00:00
500,XRP,short,"2026-06-10 13:15:00+00:00",fired,,,,2026-06-10T13:31:13.271111+00:00
509,XRP,short,"2026-06-10 13:30:00+00:00",detected,,-0.00522373120027675,,2026-06-10T13:46:13.974202+00:00
519,XRP,short,"2026-06-10 13:30:00+00:00",entry_unfilled,,,,2026-06-10T14:30:11.264675+00:00
541,XRP,short,"2026-06-11 00:00:00+00:00",detected,,-0.00624902343753853,,2026-06-11T00:15:30.828266+00:00
548,XRP,short,"2026-06-11 00:15:00+00:00",fired,,,,2026-06-11T00:30:29.155829+00:00
553,XRP,short,"2026-06-11 00:30:00+00:00",detected,,-0.00611134969802629,,2026-06-11T00:46:09.967550+00:00
555,XRP,short,"2026-06-11 00:45:00+00:00",fired,,,,2026-06-11T01:00:19.279890+00:00
568,XRP,short,"2026-06-11 01:30:00+00:00",detected,,-0.0055268340364194,,2026-06-11T01:45:22.447966+00:00
574,XRP,short,"2026-06-11 01:45:00+00:00",fired,,,,2026-06-11T02:00:40.036740+00:00
576,XRP,short,"2026-06-11 02:00:00+00:00",detected,,-0.0050459603147508,,2026-06-11T02:15:27.759095+00:00
578,XRP,short,"2026-06-11 02:15:00+00:00",fired,,,,2026-06-11T02:30:40.074804+00:00
585,XRP,short,"2026-06-11 03:45:00+00:00",detected,,-0.0036207092918672,,2026-06-11T04:00:27.077610+00:00
590,XRP,short,"2026-06-11 03:45:00+00:00",entry_unfilled,,,,2026-06-11T04:45:07.676634+00:00
594,XRP,short,"2026-06-11 08:15:00+00:00",detected,,-0.00113774080267115,,2026-06-11T08:30:27.077519+00:00
597,XRP,short,"2026-06-11 08:15:00+00:00",entry_unfilled,,,,2026-06-11T09:15:50.466121+00:00
647,XRP,short,"2026-06-11 17:30:00+00:00",detected,,-0.00136017191419491,,2026-06-11T17:45:42.677241+00:00
650,XRP,short,"2026-06-11 17:45:00+00:00",fired,,,,2026-06-11T18:01:27.368575+00:00
664,XRP,long,"2026-06-12 00:00:00+00:00",detected,,0.00363149684108932,,2026-06-12T00:16:05.196200+00:00
669,XRP,long,"2026-06-12 00:15:00+00:00",fired,,,,2026-06-12T00:30:54.693083+00:00
679,XRP,long,"2026-06-12 00:30:00+00:00",detected,,0.00352996312972409,,2026-06-12T00:45:57.471970+00:00
687,XRP,long,"2026-06-12 01:00:00+00:00",fired,,,,2026-06-12T01:15:55.771522+00:00
706,XRP,long,"2026-06-12 06:15:00+00:00",detected,,0.00315761542044557,,2026-06-12T06:30:42.678274+00:00
712,XRP,long,"2026-06-12 06:30:00+00:00",fired,,,,2026-06-12T06:46:09.878705+00:00
