symbol,action,signal_price,created_at,status,filled_at,fill_price,era
SOL-USDT,buy,89.34,2026-04-17 22:35:03.232459+00:00,invalidated,,,v1
SOL-USDT,sell,88.67,2026-04-17 23:18:59.935824+00:00,invalidated,,,v1
SOL-USDT,sell,88.59,2026-04-17 23:19:08.726055+00:00,invalidated,,,v1
ZEC-USDT,sell,326.6,2026-04-17 23:19:51.518753+00:00,invalidated,,,v1
SOL-USDT,buy,88.72,2026-04-18 00:10:13.869144+00:00,invalidated,,,v1
ZEC-USDT,buy,331.28,2026-04-18 00:17:01.624761+00:00,invalidated,,,v1
SOL-USDT,buy,89.1,2026-04-18 00:56:05.329937+00:00,invalidated,,,v1
SOL-USDT,buy,89.01,2026-04-18 02:29:04.963264+00:00,invalidated,,,v1
SOL-USDT,buy,89.02,2026-04-18 02:38:05.072681+00:00,filled,2026-04-18 02:50:28.125795+00:00,88.88,v1
SOL-USDT,sell,88.48,2026-04-18 03:54:08.985123+00:00,invalidated,,,v1
ZEC-USDT,sell,335.93,2026-04-18 06:14:52.135905+00:00,invalidated,,,v1
ZEC-USDT,buy,323.77,2026-04-18 12:50:03.971866+00:00,invalidated,,,v1
ZEC-USDT,sell,322.24,2026-04-18 13:35:52.183026+00:00,invalidated,,,v1
ZEC-USDT,buy,325.46,2026-04-18 15:37:02.836717+00:00,invalidated,,,v1
ZEC-USDT,buy,325.44,2026-04-18 15:48:01.658817+00:00,filled,2026-04-18 16:01:06.605347+00:00,325.02,v1
SOL-USDT,buy,86.86,2026-04-18 16:14:04.476226+00:00,invalidated,,,v1
SOL-USDT,sell,86.56,2026-04-18 18:02:09.209176+00:00,invalidated,,,v1
SOL-USDT,sell,86.57,2026-04-18 18:14:08.720935+00:00,invalidated,,,v1
ZEC-USDT,sell,322.75,2026-04-18 18:19:51.478186+00:00,invalidated,,,v1
SOL-USDT,buy,86.26,2026-04-18 20:46:05.626064+00:00,invalidated,,,v1
SOL-USDT,buy,86.35,2026-04-18 23:04:05.107588+00:00,invalidated,,,v1
ZEC-USDT,buy,325.05,2026-04-18 23:08:01.623086+00:00,invalidated,,,v1
SOL-USDT,sell,86.03,2026-04-19 00:17:09.080877+00:00,expired,,,v1
ZEC-USDT,buy,324.69,2026-04-19 00:24:01.681120+00:00,invalidated,,,v1
ZEC-USDT,buy,324.39,2026-04-19 00:50:02.508108+00:00,invalidated,,,v1
ZEC-USDT,sell,322.4,2026-04-19 02:25:02.733123+00:00,invalidated,,,v1
ZEC-USDT,buy,324.64,2026-04-19 03:17:01.773739+00:00,invalidated,,,v1
SOL-USDT,buy,85.84,2026-04-19 04:13:05.482039+00:00,invalidated,,,v1
ZEC-USDT,buy,323.03,2026-04-19 05:34:02.201636+00:00,invalidated,,,v1
SOL-USDT,sell,85.36,2026-04-19 05:47:09.367923+00:00,expired,,,v1
SOL-USDT,buy,85.58,2026-04-19 06:38:07.474920+00:00,invalidated,,,v1
