sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,zec_lighter_net,zec_lighter_pf,zec_lighter_dd,zec_lighter_n,zec_blofin_net,zec_blofin_pf,sol_lighter_net,sol_lighter_pf,sol_lighter_dd,sol_lighter_n,sol_blofin_net,sol_blofin_pf,combined_lighter_net,combined_blofin_net,both_profitable,zec_lift,sol_lift,combined_lift,score
120,25,45,30,60,65,25.0,22923.19,2.886,-422.41,1092,13093.95,1.84,6732.52,2.205,-343.31,493,2294.56,1.31,29655.71,15388.51,True,2122.5,314.9400000000005,2437.4400000000005,64.28291
120,25,45,30,75,80,25.0,22961.05,2.889,-481.36,1092,13131.58,1.843,6390.93,2.143,-322.25,493,1952.93,1.264,29351.98,15084.51,True,2160.3600000000006,-26.649999999999636,2133.710000000001,64.16141333333334
80,45,55,50,70,75,67.5,20356.14,2.064,-582.87,1035,11041.31,1.494,7456.5,1.8,-760.36,462,3296.03,1.304,27812.64,14337.34,True,-444.5499999999993,1038.92,594.3700000000008,64.12494
80,45,55,50,85,90,45.0,21773.04,2.114,-533.93,1048,12341.01,1.545,6838.22,1.721,-726.5,466,2642.5,1.241,28611.260000000002,14983.51,True,972.3500000000022,420.6400000000003,1392.9900000000025,63.99889333333333
120,25,55,30,70,75,25.0,22692.57,2.79,-482.25,1086,12917.25,1.764,6329.39,2.144,-362.57,487,1945.66,1.252,29021.96,14862.91,True,1891.880000000001,-88.1899999999996,1803.6900000000014,63.916826666666665
80,45,55,50,85,90,67.5,21376.29,2.094,-545.04,1047,11953.67,1.528,6961.56,1.734,-726.5,466,2765.75,1.252,28337.850000000002,14719.42,True,575.6000000000022,543.9800000000005,1119.5800000000027,63.81325
100,45,55,50,85,90,67.5,18851.69,1.892,-753.19,1013,9734.28,1.405,6539.52,1.648,-887.17,452,2469.71,1.216,25391.21,12203.990000000002,True,-1949.0,121.94000000000051,-1827.0599999999995,63.594809999999995
100,45,55,50,70,75,67.5,17632.02,1.847,-887.04,1002,8613.3,1.361,6790.83,1.673,-855.86,449,2747.29,1.239,24422.85,11360.59,True,-3168.6699999999983,373.25,-2795.4199999999983,63.58518333333333
100,25,55,30,70,75,25.0,23547.45,3.004,-367.0,1093,13708.93,1.854,5927.03,2.014,-368.06,495,1471.1,1.181,29474.48,15180.03,True,2746.760000000002,-490.5500000000002,2256.210000000002,63.55174666666666
80,35,45,40,75,80,35.0,23873.2,2.619,-356.0,1089,14070.97,1.8,6855.43,1.918,-406.51,486,2479.96,1.279,30728.63,16550.93,True,3072.510000000002,437.85000000000036,3510.3600000000024,63.47706333333334
80,25,55,30,85,90,25.0,24096.47,3.182,-376.0,1111,14096.13,1.912,5367.13,1.905,-315.5,504,829.92,1.1,29463.600000000002,14926.05,True,3295.7800000000025,-1050.4499999999998,2245.3300000000027,63.33526666666666
140,25,55,30,85,90,25.0,21833.61,2.698,-630.69,1071,12193.31,1.717,5406.45,1.891,-437.0,483,1058.69,1.129,27240.06,13252.0,True,1032.920000000002,-1011.1300000000001,21.790000000001783,63.21362666666667
120,45,65,50,80,85,67.5,16661.23,1.787,-978.29,972,7913.76,1.324,5624.01,1.549,-986.8,434,1716.49,1.146,22285.239999999998,9630.25,True,-4139.459999999999,-793.5699999999997,-4933.029999999999,63.05614
80,35,45,40,60,65,35.0,23681.52,2.607,-356.0,1086,13906.25,1.792,6601.54,1.883,-412.91,485,2235.06,1.252,30283.06,16141.31,True,2880.8300000000017,183.96000000000004,3064.790000000002,62.93882666666667
100,45,55,50,85,90,45.0,19478.89,1.922,-682.42,1014,10352.23,1.431,6412.5,1.636,-822.0,452,2342.81,1.205,25891.39,12695.039999999999,True,-1321.7999999999993,-5.079999999999927,-1326.8799999999992,62.795590000000004
120,25,55,30,85,90,25.0,21991.04,2.735,-482.12,1084,12233.57,1.724,6044.57,2.092,-372.5,488,1651.8,1.214,28035.61,13885.369999999999,True,1190.3500000000022,-373.0100000000002,817.340000000002,62.671809999999994
80,45,55,50,70,75,45.0,20661.23,2.062,-549.02,1045,11256.25,1.499,6573.5,1.699,-738.11,464,2395.75,1.221,27234.73,13652.0,True,-139.45999999999913,155.92000000000007,16.460000000000946,62.642696666666666
140,35,45,40,75,80,35.0,20742.2,2.19,-706.26,1028,11488.91,1.581,5815.5,1.679,-591.5,460,1674.43,1.172,26557.7,13163.34,True,-58.48999999999796,-602.0799999999999,-660.5699999999979,62.43196666666667
120,35,45,40,75,80,35.0,21792.21,2.313,-486.26,1049,12349.85,1.648,6673.04,1.848,-520.5,469,2451.04,1.27,28465.25,14800.89,True,991.5200000000004,255.46000000000004,1246.9800000000005,62.40285
120,45,65,50,95,100,45.0,17993.5,1.854,-832.92,979,9182.04,1.377,5295.33,1.51,-954.3,438,1351.91,1.114,23288.83,10533.95,True,-2807.1899999999987,-1122.25,-3929.4399999999987,62.374363333333335
140,35,45,40,60,65,35.0,20600.8,2.183,-743.78,1025,11374.44,1.576,5532.22,1.646,-591.5,459,1400.13,1.144,26133.02,12774.57,True,-199.88999999999942,-885.3599999999997,-1085.249999999999,62.24915333333334
120,35,45,40,60,65,35.0,21626.25,2.304,-523.78,1046,12210.83,1.642,6387.03,1.812,-520.5,468,2174.03,1.239,28013.28,14384.86,True,825.5600000000013,-30.550000000000182,795.0100000000011,62.17608
100,25,55,30,85,90,25.0,22826.12,2.942,-349.0,1091,13005.43,1.81,5573.77,1.953,-395.5,496,1108.77,1.136,28399.89,14114.2,True,2025.4300000000003,-843.8099999999995,1181.6200000000008,62.16155666666667
120,45,65,50,80,85,45.0,17487.85,1.83,-847.16,979,8676.41,1.357,5356.07,1.529,-964.3,435,1439.65,1.124,22843.92,10116.06,True,-3312.84,-1061.5100000000002,-4374.35,62.155186666666665
140,45,55,50,85,90,45.0,18172.75,1.803,-742.73,968,9460.77,1.377,6247.91,1.591,-888.9,435,2331.32,1.2,24420.66,11792.09,True,-2627.9399999999987,-169.67000000000007,-2797.6099999999988,62.05029333333333
140,45,55,50,85,90,67.5,17598.94,1.782,-670.94,966,8905.13,1.357,6385.7,1.604,-995.67,435,2469.02,1.211,23984.64,11374.15,True,-3201.75,-31.88000000000011,-3233.63,61.937406666666675
